year,return
1990,0.0800
1991,0.1575
1992,0.0720
1993,0.0952
1994,-0.0296
1995,0.1831
1996,0.0366
1997,0.0960
1998,0.0870
1999,-0.0085
2000,0.1167
2001,0.0861
2002,0.1027
2003,0.0411
2004,0.0430
2005,0.0240
2006,0.0440
2007,0.0709
2008,0.0545
2009,0.0599
2010,0.0671
2011,0.0789
2012,0.0429
2013,-0.0168
2014,0.0673
2015,0.0091
2016,0.0291
2017,0.0382
2018,0.0015
2019,0.0868
2020,0.0750
2021,-0.0146
2022,-0.1283
2023,0.0558
