year,return
1990,-0.0315
1991,0.3077
1992,0.0770
1993,0.1013
1994,0.0133
1995,0.3741
1996,0.2285
1997,0.3317
1998,0.2844
1999,0.2095
2000,-0.0914
2001,-0.1194
2002,-0.2205
2003,0.2854
2004,0.1082
2005,0.0496
2006,0.1579
2007,0.0554
2008,-0.3699
2009,0.2668
2010,0.1506
2011,0.0211
2012,0.1607
2013,0.3245
2014,0.1378
2015,0.0146
2016,0.1201
2017,0.2182
2018,-0.0441
2019,0.3145
2020,0.1831
2021,0.2868
2022,-0.1813
2023,0.2625
