year,return
1990,0.0890
1991,0.0815
1992,0.0723
1993,0.0614
1994,0.0722
1995,0.0703
1996,0.0676
1997,0.0677
1998,0.0574
1999,0.0599
2000,0.0642
2001,0.0539
2002,0.0500
2003,0.0411
2004,0.0430
2005,0.0449
2006,0.0493
2007,0.0487
2008,0.0375
2009,0.0297
2010,0.0281
2011,0.0245
2012,0.0147
2013,0.0189
2014,0.0231
2015,0.0204
2016,0.0182
2017,0.0233
2018,0.0291
2019,0.0224
2020,0.0097
2021,0.0138
2022,0.0298
2023,0.0422
