year,return
1990,0.0489
1991,0.0505
1992,0.0296
1993,0.0323
1994,0.0244
1995,0.0292
1996,0.0284
1997,0.0263
1998,0.0150
1999,0.0191
2000,0.0326
2001,0.0340
2002,0.0130
2003,0.0246
2004,0.0235
2005,0.0299
2006,0.0383
2007,0.0255
2008,0.0424
2009,-0.0060
2010,0.0206
2011,0.0279
2012,0.0235
2013,0.0154
2014,0.0173
2015,-0.0005
2016,0.0106
2017,0.0222
2018,0.0246
2019,0.0173
2020,0.0124
2021,0.0337
2022,0.0830
2023,0.0488
